mission,disposition,disposition_score,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,orbital_period,transit_depth,transit_duration,impact_parameter,signal_to_noise,planet_radius_earth,planet_temp,planet_count_in_system,stellar_temperature,stellar_radius,stellar_mass,stellar_logg
Kepler,FALSE POSITIVE,0.0,0.0,0.0,1.0,1.0,2.99025443,589.2,5.414,0.014,48.5,1.7,918.0,1.0,4667.0,0.731,0.737,4.578
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,1.594745374,15044.0,1.9604,0.514,1009.3,11.3,1539.0,1.0,5934.0,0.893,0.901,4.491
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,4.783002698,1008.7,2.335,0.003,70.6,2.5,886.0,1.0,5170.0,0.807,0.891,4.574
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,20.50588921,2105.5,4.0595,0.26,78.5,3.41,518.0,1.0,4905.0,0.761,0.739,4.544
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,3.340218842,1632.6,1.9104,0.466,71.6,2.03,656.0,4.0,3950.0,0.493,0.502,4.754
Kepler,FALSE POSITIVE,0.0,0.0,1.0,1.0,0.0,2.507089906,1339.2,2.0067,1.255,64.9,30.26,1326.0,1.0,5926.0,0.939,1.03,4.506
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,18.64932728,893.6,4.4056,0.08,46.1,3.12,701.0,3.0,5775.0,1.053,1.026,4.405
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,4.90144976,140.7,4.1654,0.529,50.6,1.7,1262.0,4.0,5847.0,1.402,1.113,4.191
Kepler,CONFIRMED,0.998,0.0,0.0,0.0,0.0,9.75192101,418.0,4.793,0.949,28.5,2.76,870.0,3.0,5775.0,1.053,1.026,4.405
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,38.5576546,993.0,5.794,0.911,39.7,4.02,550.0,3.0,5775.0,1.053,1.026,4.405
Kepler,CONFIRMED,0.99,0.0,0.0,0.0,0.0,3.525632539,22335.0,2.59959,0.12,1996.7,11.58,975.0,1.0,5150.0,0.793,0.855,4.572
Kepler,CANDIDATE,1.0,0.0,0.0,0.0,0.0,34.84398644,4523.6,2.9315,0.934,76.8,7.61,511.0,1.0,5509.0,0.871,0.84,4.482
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,7.748094239,2472.1,3.5957,0.517,113.2,5.52,964.0,1.0,5973.0,1.085,1.181,4.439
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,23.96793669,1182.3,3.827,0.416,27.5,1.8,329.0,2.0,3747.0,0.524,0.536,4.728
Kepler,CONFIRMED,0.995,0.0,0.0,0.0,0.0,8.29561738,824.3,1.3421,0.888,17.9,1.82,469.0,2.0,3747.0,0.524,0.536,4.728
